dt_hour,e_series_pm,ambient_Temp_C_Mean,rh_pct_Mean,BarometricPressure_mbar_Mean,airport_wind_spd_kmh,airport_wind_dir,wind_x,wind_y,season_Autumn,season_Spring,season_Summer,season_Winter,reference_pm
2015-11-14 20:00,13.61321839,-15.13137931,24.99293103,928,0,0,0,0,0,0,0,1,12
2015-11-14 21:00,3.246649425,-15.52275862,25.10344828,928,1,360,-0.283691091,0.958915723,0,0,0,1,7
2015-11-14 22:00,9.627758621,-17.36017241,23.47103448,928,5,240,1.628906528,4.727225775,0,0,0,1,4
2015-11-14 23:00,52.77247126,-18.79137931,21.57896552,928,7,250,1.686918137,-6.793696137,0,0,0,1,31
2015-11-15 0:00,15.66672414,-19.37396552,20.64758621,928,6,260,-4.381164943,4.099438223,0,0,0,1,5
2015-11-15 1:00,21.35321839,-18.89103448,20.47275862,928,5,230,-3.938479708,-3.08032102,0,0,0,1,9
2015-11-15 2:00,21.68457627,-18.36288136,21.46610169,928,4,150,2.797003226,-2.859505719,0,0,0,1,13
2015-11-15 3:00,20.60943503,-17.76457627,22.26694915,928,2,360,-0.567382183,1.917831447,0,0,0,1,14
2015-11-15 4:00,19.6966092,-17.72568966,22.42672414,928,2,360,-0.567382183,1.917831447,0,0,0,1,13
2015-11-15 5:00,9.447758621,-17.93396552,22.11051724,928,4,190,0.265227433,3.991197115,0,0,0,1,7
2015-11-15 6:00,12.41005747,-18.09689655,22.04603448,928,5,180,-2.992300345,-4.005763179,0,0,0,1,7
2015-11-15 7:00,10.79201149,-19.02206897,21.35741379,927.5,7,200,3.410313725,-6.11308108,0,0,0,1,5
2015-11-15 8:00,15.7095977,-20.29517241,19.85655172,927.4310345,8,180,-4.787680552,-6.409221086,0,0,0,1,14
2015-11-15 9:00,19.19867816,-20.90482759,19.30310345,927.9827586,4,220,3.984340683,0.35359485,0,0,0,1,10
2015-11-15 10:00,16.63735632,-19.70724138,20.4237931,927.9482759,3,360,-0.851073274,2.87674717,0,0,0,1,7
2015-11-15 11:00,14.28471264,-17.65517241,21.655,927.0344828,3,130,-1.101873991,-2.790317851,0,0,0,1,7
2015-11-15 12:00,15.49902299,-16.53637931,22.45810345,927,6,180,-3.590760414,-4.806915814,0,0,0,1,12
2015-11-15 13:00,5.081781609,-15.47413793,23.61327586,927,3,70,1.899957609,2.321672045,0,0,0,1,7
2015-11-15 14:00,6.731781609,-13.47844828,24.65517241,927,1,360,-0.283691091,0.958915723,0,0,0,1,3
2015-11-15 15:00,4.383908046,-12.73637931,25.25568966,927,2,360,-0.567382183,1.917831447,0,0,0,1,3
